lemma,family,rationale
ورکېدل,aux_become,prefix ور+کېدل
کېدل,aux_become,auxiliary; irregular present stem کېږ-
کول,aux_do,suppletive perfective stem کړ-
نیول,capture_take,perfective ونی-
خوړل,consume_eat,perfective وخور-
راکول,give,prefix + کول → راکړ- in perfective
ورکول,give,prefix + کول → ورکړ- in perfective
راتلل,motion_come,derived from تلل with را- prefix
راوتل,motion_come_out,prefix + motion
وتل,motion_exit,motion; often suppletive perfective forms
تلل,motion_go,suppletive perfective root لاړل
ورتلل,motion_go,prefix ور+تلل
لیدل,perception_see,stems وین-/ووین-
آبادېدل,potential_irregular,ending heuristic (یل/ېدل/ستل)
آبدارېدل,potential_irregular,ending heuristic (یل/ېدل/ستل)
آزادېدل,potential_irregular,ending heuristic (یل/ېدل/ستل)
آماده کېدل,potential_irregular,ending heuristic (یل/ېدل/ستل)
آورېدل,potential_irregular,ending heuristic (یل/ېدل/ستل)
ابلاغېدل,potential_irregular,ending heuristic (یل/ېدل/ستل)
اثباتېدل,potential_irregular,ending heuristic (یل/ېدل/ستل)
احاطه کېدل,potential_irregular,ending heuristic (یل/ېدل/ستل)
احساسېدل,potential_irregular,ending heuristic (یل/ېدل/ستل)
احضارېدل,potential_irregular,ending heuristic (یل/ېدل/ستل)
اختطاف کېدل,potential_irregular,ending heuristic (یل/ېدل/ستل)
اخستل,potential_irregular,ending heuristic (یل/ېدل/ستل)
اخلالېدل,potential_irregular,ending heuristic (یل/ېدل/ستل)
اخیستل,potential_irregular,ending heuristic (یل/ېدل/ستل)
ادا کېدل,potential_irregular,ending heuristic (یل/ېدل/ستل)
ادغامېدل,potential_irregular,ending heuristic (یل/ېدل/ستل)
ارتاوېدل,potential_irregular,ending heuristic (یل/ېدل/ستل)
ارزېدل,potential_irregular,ending heuristic (یل/ېدل/ستل)
اروېدل,potential_irregular,ending heuristic (یل/ېدل/ستل)
ازارېدل,potential_irregular,ending heuristic (یل/ېدل/ستل)
ازمایل,potential_irregular,ending heuristic (یل/ېدل/ستل)
ازمویل,potential_irregular,ending heuristic (یل/ېدل/ستل)
ازمیښت کېدل,potential_irregular,ending heuristic (یل/ېدل/ستل)
اسانېدل,potential_irregular,ending heuristic (یل/ېدل/ستل)
استثمارېدل,potential_irregular,ending heuristic (یل/ېدل/ستل)
استعمالېدل,potential_irregular,ending heuristic (یل/ېدل/ستل)
اسیر کېدل,potential_irregular,ending heuristic (یل/ېدل/ستل)
اشنا کېدل,potential_irregular,ending heuristic (یل/ېدل/ستل)
اصلاح کېدل,potential_irregular,ending heuristic (یل/ېدل/ستل)
اظهارېدل,potential_irregular,ending heuristic (یل/ېدل/ستل)
اعدامېدل,potential_irregular,ending heuristic (یل/ېدل/ستل)
اعلامېدل,potential_irregular,ending heuristic (یل/ېدل/ستل)
اعلانېدل,potential_irregular,ending heuristic (یل/ېدل/ستل)
اغستل,potential_irregular,ending heuristic (یل/ېدل/ستل)
اغوستل,potential_irregular,ending heuristic (یل/ېدل/ستل)
اغېړېدل,potential_irregular,ending heuristic (یل/ېدل/ستل)
امبارېدل,potential_irregular,ending heuristic (یل/ېدل/ستل)
امتحان اخیستل,potential_irregular,ending heuristic (یل/ېدل/ستل)
اموخته کېدل,potential_irregular,ending heuristic (یل/ېدل/ستل)
انبارېدل,potential_irregular,ending heuristic (یل/ېدل/ستل)
انتقال کېدل,potential_irregular,ending heuristic (یل/ېدل/ستل)
انجامېدل,potential_irregular,ending heuristic (یل/ېدل/ستل)
انکاري کېدل,potential_irregular,ending heuristic (یل/ېدل/ستل)
اهل کېدل,potential_irregular,ending heuristic (یل/ېدل/ستل)
اوبېدل,potential_irregular,ending heuristic (یل/ېدل/ستل)
اوترېدل,potential_irregular,ending heuristic (یل/ېدل/ستل)
اودرېدل,potential_irregular,ending heuristic (یل/ېدل/ستل)
اوده کېدل,potential_irregular,ending heuristic (یل/ېدل/ستل)
اور اخیستل,potential_irregular,ending heuristic (یل/ېدل/ستل)
اورېدل,potential_irregular,ending heuristic (یل/ېدل/ستل)
اوزګارېدل,potential_irregular,ending heuristic (یل/ېدل/ستل)
اوسېدل,potential_irregular,ending heuristic (یل/ېدل/ستل)
اوچتېدل,potential_irregular,ending heuristic (یل/ېدل/ستل)
اوړه کېدل,potential_irregular,ending heuristic (یل/ېدل/ستل)
اوړېدل,potential_irregular,ending heuristic (یل/ېدل/ستل)
اوږدېدل,potential_irregular,ending heuristic (یل/ېدل/ستل)
اوېزانېدل,potential_irregular,ending heuristic (یل/ېدل/ستل)
اړ کېدل,potential_irregular,ending heuristic (یل/ېدل/ستل)
اړېدل,potential_irregular,ending heuristic (یل/ېدل/ستل)
اږیل,potential_irregular,ending heuristic (یل/ېدل/ستل)
اګاه کېدل,potential_irregular,ending heuristic (یل/ېدل/ستل)
ایجابېدل,potential_irregular,ending heuristic (یل/ېدل/ستل)
ایجاد کېدل,potential_irregular,ending heuristic (یل/ېدل/ستل)
ایسارېدل,potential_irregular,ending heuristic (یل/ېدل/ستل)
ایستل,potential_irregular,ending heuristic (یل/ېدل/ستل)
ایسېدل,potential_irregular,ending heuristic (یل/ېدل/ستل)
ایشېدل,potential_irregular,ending heuristic (یل/ېدل/ستل)
ایله کېدل,potential_irregular,ending heuristic (یل/ېدل/ستل)
اېستل,potential_irregular,ending heuristic (یل/ېدل/ستل)
اېسېدل,potential_irregular,ending heuristic (یل/ېدل/ستل)
اېشېدل,potential_irregular,ending heuristic (یل/ېدل/ستل)
بابېدل,potential_irregular,ending heuristic (یل/ېدل/ستل)
بادېدل,potential_irregular,ending heuristic (یل/ېدل/ستل)
باطلېدل,potential_irregular,ending heuristic (یل/ېدل/ستل)
بحال کېدل,potential_irregular,ending heuristic (یل/ېدل/ستل)
بختور کېدل,potential_irregular,ending heuristic (یل/ېدل/ستل)
بد رد ویل,potential_irregular,ending heuristic (یل/ېدل/ستل)
بدترېدل,potential_irregular,ending heuristic (یل/ېدل/ستل)
بدل اخیستل,potential_irregular,ending heuristic (یل/ېدل/ستل)
بدله اخیستل,potential_irregular,ending heuristic (یل/ېدل/ستل)
بدلېدل,potential_irregular,ending heuristic (یل/ېدل/ستل)
بدېدل,potential_irregular,ending heuristic (یل/ېدل/ستل)
برائت کېدل,potential_irregular,ending heuristic (یل/ېدل/ستل)
برابرېدل,potential_irregular,ending heuristic (یل/ېدل/ستل)
برالبېدل,potential_irregular,ending heuristic (یل/ېدل/ستل)
بربادېدل,potential_irregular,ending heuristic (یل/ېدل/ستل)
بربنډېدل,potential_irregular,ending heuristic (یل/ېدل/ستل)
برخه اخستل,potential_irregular,ending heuristic (یل/ېدل/ستل)
برش کېدل,potential_irregular,ending heuristic (یل/ېدل/ستل)
برطرف کېدل,potential_irregular,ending heuristic (یل/ېدل/ستل)
برقرارېدل,potential_irregular,ending heuristic (یل/ېدل/ستل)
برمه کېدل,potential_irregular,ending heuristic (یل/ېدل/ستل)
بره کېدل,potential_irregular,ending heuristic (یل/ېدل/ستل)
برهمېدل,potential_irregular,ending heuristic (یل/ېدل/ستل)
بري کېدل,potential_irregular,ending heuristic (یل/ېدل/ستل)
برېښېدل,potential_irregular,ending heuristic (یل/ېدل/ستل)
بستر کېدل,potential_irregular,ending heuristic (یل/ېدل/ستل)
بسته کېدل,potential_irregular,ending heuristic (یل/ېدل/ستل)
بشپړېدل,potential_irregular,ending heuristic (یل/ېدل/ستل)
بلدېدل,potential_irregular,ending heuristic (یل/ېدل/ستل)
بلوسېدل,potential_irregular,ending heuristic (یل/ېدل/ستل)
بلېدل,potential_irregular,ending heuristic (یل/ېدل/ستل)
بندي کېدل,potential_irregular,ending heuristic (یل/ېدل/ستل)
بندېدل,potential_irregular,ending heuristic (یل/ېدل/ستل)
بنګېدل,potential_irregular,ending heuristic (یل/ېدل/ستل)
بهر کېدل,potential_irregular,ending heuristic (یل/ېدل/ستل)
بهېدل,potential_irregular,ending heuristic (یل/ېدل/ستل)
بودېدل,potential_irregular,ending heuristic (یل/ېدل/ستل)
بورېدل,potential_irregular,ending heuristic (یل/ېدل/ستل)
بونګېدل,potential_irregular,ending heuristic (یل/ېدل/ستل)
بوڅېدل,potential_irregular,ending heuristic (یل/ېدل/ستل)
بوکېدل,potential_irregular,ending heuristic (یل/ېدل/ستل)
بوڼېدل,potential_irregular,ending heuristic (یل/ېدل/ستل)
بچ کېدل,potential_irregular,ending heuristic (یل/ېدل/ستل)
بړېدل,potential_irregular,ending heuristic (یل/ېدل/ستل)
بږنېدل,potential_irregular,ending heuristic (یل/ېدل/ستل)
بږی اخیستل,potential_irregular,ending heuristic (یل/ېدل/ستل)
بک کېدل,potential_irregular,ending heuristic (یل/ېدل/ستل)
بکېدل,potential_irregular,ending heuristic (یل/ېدل/ستل)
بڼیا کېدل,potential_irregular,ending heuristic (یل/ېدل/ستل)
بڼېدل,potential_irregular,ending heuristic (یل/ېدل/ستل)
بیانېدل,potential_irregular,ending heuristic (یل/ېدل/ستل)
بیدېدل,potential_irregular,ending heuristic (یل/ېدل/ستل)
بیمه کېدل,potential_irregular,ending heuristic (یل/ېدل/ستل)
بیېدل,potential_irregular,ending heuristic (یل/ېدل/ستل)
بې حس کېدل,potential_irregular,ending heuristic (یل/ېدل/ستل)
بې سده کېدل,potential_irregular,ending heuristic (یل/ېدل/ستل)
بې لارې کېدل,potential_irregular,ending heuristic (یل/ېدل/ستل)
بې موراله کېدل,potential_irregular,ending heuristic (یل/ېدل/ستل)
بې هوشه کېدل,potential_irregular,ending heuristic (یل/ېدل/ستل)
بېرانېدل,potential_irregular,ending heuristic (یل/ېدل/ستل)
بېرېدل,potential_irregular,ending heuristic (یل/ېدل/ستل)
بېزاره کېدل,potential_irregular,ending heuristic (یل/ېدل/ستل)
بېزارېدل,potential_irregular,ending heuristic (یل/ېدل/ستل)
بېسده کېدل,potential_irregular,ending heuristic (یل/ېدل/ستل)
بېلېدل,potential_irregular,ending heuristic (یل/ېدل/ستل)
بېهو کېدل,potential_irregular,ending heuristic (یل/ېدل/ستل)
تار په تارېدل,potential_irregular,ending heuristic (یل/ېدل/ستل)
تازه کېدل,potential_irregular,ending heuristic (یل/ېدل/ستل)
تامینېدل,potential_irregular,ending heuristic (یل/ېدل/ستل)
تاو کېدل,potential_irregular,ending heuristic (یل/ېدل/ستل)
تاوېدل,potential_irregular,ending heuristic (یل/ېدل/ستل)
تاییدېدل,potential_irregular,ending heuristic (یل/ېدل/ستل)
تباه کېدل,potential_irregular,ending heuristic (یل/ېدل/ستل)
تبدیلېدل,potential_irregular,ending heuristic (یل/ېدل/ستل)
تتر بتر کېدل,potential_irregular,ending heuristic (یل/ېدل/ستل)
تجدیدېدل,potential_irregular,ending heuristic (یل/ېدل/ستل)
تجلیلېدل,potential_irregular,ending heuristic (یل/ېدل/ستل)
تحلیلېدل,potential_irregular,ending heuristic (یل/ېدل/ستل)
تحویلېدل,potential_irregular,ending heuristic (یل/ېدل/ستل)
تخصیص کېدل,potential_irregular,ending heuristic (یل/ېدل/ستل)
تخڼېدل,potential_irregular,ending heuristic (یل/ېدل/ستل)
تخېدل,potential_irregular,ending heuristic (یل/ېدل/ستل)
تدفینېدل,potential_irregular,ending heuristic (یل/ېدل/ستل)
تر شا کېدل,potential_irregular,ending heuristic (یل/ېدل/ستل)
تر لاسه کېدل,potential_irregular,ending heuristic (یل/ېدل/ستل)
تربت کېدل,potential_irregular,ending heuristic (یل/ېدل/ستل)
ترجمه کېدل,potential_irregular,ending heuristic (یل/ېدل/ستل)
ترخېدل,potential_irregular,ending heuristic (یل/ېدل/ستل)
تردیدېدل,potential_irregular,ending heuristic (یل/ېدل/ستل)
ترسره کېدل,potential_irregular,ending heuristic (یل/ېدل/ستل)
ترسیمېدل,potential_irregular,ending heuristic (یل/ېدل/ستل)
ترمیمېدل,potential_irregular,ending heuristic (یل/ېدل/ستل)
ترهېدل,potential_irregular,ending heuristic (یل/ېدل/ستل)
ترورېدل,potential_irregular,ending heuristic (یل/ېدل/ستل)
ترپېدل,potential_irregular,ending heuristic (یل/ېدل/ستل)
