lemma,family,rationale,irregular_by_engine,imperfective_stem,perfective_stem,imperfective_root,perfective_root,verified_via
ورکېدل,aux_become,prefix ور+کېدل,False,,,,,none
کېدل,aux_become,auxiliary; irregular present stem کېږ-,True,کېږ,وش,کېدل,وشو,local
کول,aux_do,suppletive perfective stem کړ-,True,کو,وکړ,کول,وکړ,local
نیول,capture_take,perfective ونی-,True,نیس,ونی,نیول,ونیول,local
خوړل,consume_eat,perfective وخور-,True,خور,وخور,خوړل,وخوړل,local
راکول,give,prefix + کول → راکړ- in perfective,False,,,,,none
ورکول,give,prefix + کول → ورکړ- in perfective,False,,,,,none
راتلل,motion_come,derived from تلل with را- prefix,False,,,,,none
راوتل,motion_come_out,prefix + motion,False,,,,,none
وتل,motion_exit,motion; often suppletive perfective forms,False,,,,,none
تلل,motion_go,suppletive perfective root لاړل,True,ځ,لاړ ش,تلل,لاړل,local
ورتلل,motion_go,prefix ور+تلل,False,,,,,none
لیدل,perception_see,stems وین-/ووین-,True,وین,ووین,لیدل,ولیدل,local
آبادېدل,potential_irregular,ending heuristic (یل/ېدل/ستل),False,,,,,none
آبدارېدل,potential_irregular,ending heuristic (یل/ېدل/ستل),False,,,,,none
آزادېدل,potential_irregular,ending heuristic (یل/ېدل/ستل),False,,,,,none
آماده کېدل,potential_irregular,ending heuristic (یل/ېدل/ستل),False,,,,,none
آورېدل,potential_irregular,ending heuristic (یل/ېدل/ستل),False,,,,,none
ابلاغېدل,potential_irregular,ending heuristic (یل/ېدل/ستل),False,,,,,none
اثباتېدل,potential_irregular,ending heuristic (یل/ېدل/ستل),False,,,,,none
احاطه کېدل,potential_irregular,ending heuristic (یل/ېدل/ستل),False,,,,,none
احساسېدل,potential_irregular,ending heuristic (یل/ېدل/ستل),False,,,,,none
احضارېدل,potential_irregular,ending heuristic (یل/ېدل/ستل),False,,,,,none
اختطاف کېدل,potential_irregular,ending heuristic (یل/ېدل/ستل),False,,,,,none
اخستل,potential_irregular,ending heuristic (یل/ېدل/ستل),False,,,,,none
اخلالېدل,potential_irregular,ending heuristic (یل/ېدل/ستل),False,,,,,none
اخیستل,potential_irregular,ending heuristic (یل/ېدل/ستل),False,,,,,none
ادا کېدل,potential_irregular,ending heuristic (یل/ېدل/ستل),False,,,,,none
ادغامېدل,potential_irregular,ending heuristic (یل/ېدل/ستل),False,,,,,none
ارتاوېدل,potential_irregular,ending heuristic (یل/ېدل/ستل),False,,,,,none
ارزېدل,potential_irregular,ending heuristic (یل/ېدل/ستل),False,,,,,none
اروېدل,potential_irregular,ending heuristic (یل/ېدل/ستل),False,,,,,none
ازارېدل,potential_irregular,ending heuristic (یل/ېدل/ستل),False,,,,,none
ازمایل,potential_irregular,ending heuristic (یل/ېدل/ستل),False,,,,,none
ازمویل,potential_irregular,ending heuristic (یل/ېدل/ستل),False,,,,,none
ازمیښت کېدل,potential_irregular,ending heuristic (یل/ېدل/ستل),False,,,,,none
اسانېدل,potential_irregular,ending heuristic (یل/ېدل/ستل),False,,,,,none
استثمارېدل,potential_irregular,ending heuristic (یل/ېدل/ستل),False,,,,,none
استعمالېدل,potential_irregular,ending heuristic (یل/ېدل/ستل),False,,,,,none
اسیر کېدل,potential_irregular,ending heuristic (یل/ېدل/ستل),False,,,,,none
اشنا کېدل,potential_irregular,ending heuristic (یل/ېدل/ستل),False,,,,,none
اصلاح کېدل,potential_irregular,ending heuristic (یل/ېدل/ستل),False,,,,,none
اظهارېدل,potential_irregular,ending heuristic (یل/ېدل/ستل),False,,,,,none
اعدامېدل,potential_irregular,ending heuristic (یل/ېدل/ستل),False,,,,,none
اعلامېدل,potential_irregular,ending heuristic (یل/ېدل/ستل),False,,,,,none
اعلانېدل,potential_irregular,ending heuristic (یل/ېدل/ستل),False,,,,,none
اغستل,potential_irregular,ending heuristic (یل/ېدل/ستل),False,,,,,none
اغوستل,potential_irregular,ending heuristic (یل/ېدل/ستل),False,,,,,none
اغېړېدل,potential_irregular,ending heuristic (یل/ېدل/ستل),False,,,,,none
امبارېدل,potential_irregular,ending heuristic (یل/ېدل/ستل),False,,,,,none
امتحان اخیستل,potential_irregular,ending heuristic (یل/ېدل/ستل),False,,,,,none
اموخته کېدل,potential_irregular,ending heuristic (یل/ېدل/ستل),False,,,,,none
انبارېدل,potential_irregular,ending heuristic (یل/ېدل/ستل),False,,,,,none
انتقال کېدل,potential_irregular,ending heuristic (یل/ېدل/ستل),False,,,,,none
انجامېدل,potential_irregular,ending heuristic (یل/ېدل/ستل),False,,,,,none
انکاري کېدل,potential_irregular,ending heuristic (یل/ېدل/ستل),False,,,,,none
اهل کېدل,potential_irregular,ending heuristic (یل/ېدل/ستل),False,,,,,none
اوبېدل,potential_irregular,ending heuristic (یل/ېدل/ستل),False,,,,,none
اوترېدل,potential_irregular,ending heuristic (یل/ېدل/ستل),False,,,,,none
اودرېدل,potential_irregular,ending heuristic (یل/ېدل/ستل),False,,,,,none
اوده کېدل,potential_irregular,ending heuristic (یل/ېدل/ستل),False,,,,,none
اور اخیستل,potential_irregular,ending heuristic (یل/ېدل/ستل),False,,,,,none
اورېدل,potential_irregular,ending heuristic (یل/ېدل/ستل),False,,,,,none
اوزګارېدل,potential_irregular,ending heuristic (یل/ېدل/ستل),False,,,,,none
اوسېدل,potential_irregular,ending heuristic (یل/ېدل/ستل),False,,,,,none
اوچتېدل,potential_irregular,ending heuristic (یل/ېدل/ستل),False,,,,,none
اوړه کېدل,potential_irregular,ending heuristic (یل/ېدل/ستل),False,,,,,none
اوړېدل,potential_irregular,ending heuristic (یل/ېدل/ستل),False,,,,,none
اوږدېدل,potential_irregular,ending heuristic (یل/ېدل/ستل),False,,,,,none
اوېزانېدل,potential_irregular,ending heuristic (یل/ېدل/ستل),False,,,,,none
اړ کېدل,potential_irregular,ending heuristic (یل/ېدل/ستل),False,,,,,none
اړېدل,potential_irregular,ending heuristic (یل/ېدل/ستل),False,,,,,none
اږیل,potential_irregular,ending heuristic (یل/ېدل/ستل),False,,,,,none
اګاه کېدل,potential_irregular,ending heuristic (یل/ېدل/ستل),False,,,,,none
ایجابېدل,potential_irregular,ending heuristic (یل/ېدل/ستل),False,,,,,none
ایجاد کېدل,potential_irregular,ending heuristic (یل/ېدل/ستل),False,,,,,none
ایسارېدل,potential_irregular,ending heuristic (یل/ېدل/ستل),False,,,,,none
ایستل,potential_irregular,ending heuristic (یل/ېدل/ستل),False,,,,,none
ایسېدل,potential_irregular,ending heuristic (یل/ېدل/ستل),False,,,,,none
ایشېدل,potential_irregular,ending heuristic (یل/ېدل/ستل),False,,,,,none
ایله کېدل,potential_irregular,ending heuristic (یل/ېدل/ستل),False,,,,,none
اېستل,potential_irregular,ending heuristic (یل/ېدل/ستل),False,,,,,none
اېسېدل,potential_irregular,ending heuristic (یل/ېدل/ستل),False,,,,,none
اېشېدل,potential_irregular,ending heuristic (یل/ېدل/ستل),False,,,,,none
بابېدل,potential_irregular,ending heuristic (یل/ېدل/ستل),False,,,,,none
بادېدل,potential_irregular,ending heuristic (یل/ېدل/ستل),False,,,,,none
باطلېدل,potential_irregular,ending heuristic (یل/ېدل/ستل),False,,,,,none
بحال کېدل,potential_irregular,ending heuristic (یل/ېدل/ستل),False,,,,,none
بختور کېدل,potential_irregular,ending heuristic (یل/ېدل/ستل),False,,,,,none
بد رد ویل,potential_irregular,ending heuristic (یل/ېدل/ستل),False,,,,,none
بدترېدل,potential_irregular,ending heuristic (یل/ېدل/ستل),False,,,,,none
بدل اخیستل,potential_irregular,ending heuristic (یل/ېدل/ستل),False,,,,,none
بدله اخیستل,potential_irregular,ending heuristic (یل/ېدل/ستل),False,,,,,none
بدلېدل,potential_irregular,ending heuristic (یل/ېدل/ستل),False,,,,,none
بدېدل,potential_irregular,ending heuristic (یل/ېدل/ستل),False,,,,,none
برائت کېدل,potential_irregular,ending heuristic (یل/ېدل/ستل),False,,,,,none
برابرېدل,potential_irregular,ending heuristic (یل/ېدل/ستل),False,,,,,none
برالبېدل,potential_irregular,ending heuristic (یل/ېدل/ستل),False,,,,,none
بربادېدل,potential_irregular,ending heuristic (یل/ېدل/ستل),False,,,,,none
بربنډېدل,potential_irregular,ending heuristic (یل/ېدل/ستل),False,,,,,none
برخه اخستل,potential_irregular,ending heuristic (یل/ېدل/ستل),False,,,,,none
برش کېدل,potential_irregular,ending heuristic (یل/ېدل/ستل),False,,,,,none
برطرف کېدل,potential_irregular,ending heuristic (یل/ېدل/ستل),False,,,,,none
برقرارېدل,potential_irregular,ending heuristic (یل/ېدل/ستل),False,,,,,none
برمه کېدل,potential_irregular,ending heuristic (یل/ېدل/ستل),False,,,,,none
بره کېدل,potential_irregular,ending heuristic (یل/ېدل/ستل),False,,,,,none
برهمېدل,potential_irregular,ending heuristic (یل/ېدل/ستل),False,,,,,none
بري کېدل,potential_irregular,ending heuristic (یل/ېدل/ستل),False,,,,,none
برېښېدل,potential_irregular,ending heuristic (یل/ېدل/ستل),False,,,,,none
بستر کېدل,potential_irregular,ending heuristic (یل/ېدل/ستل),False,,,,,none
بسته کېدل,potential_irregular,ending heuristic (یل/ېدل/ستل),False,,,,,none
بشپړېدل,potential_irregular,ending heuristic (یل/ېدل/ستل),False,,,,,none
بلدېدل,potential_irregular,ending heuristic (یل/ېدل/ستل),False,,,,,none
بلوسېدل,potential_irregular,ending heuristic (یل/ېدل/ستل),False,,,,,none
بلېدل,potential_irregular,ending heuristic (یل/ېدل/ستل),False,,,,,none
بندي کېدل,potential_irregular,ending heuristic (یل/ېدل/ستل),False,,,,,none
بندېدل,potential_irregular,ending heuristic (یل/ېدل/ستل),False,,,,,none
بنګېدل,potential_irregular,ending heuristic (یل/ېدل/ستل),False,,,,,none
بهر کېدل,potential_irregular,ending heuristic (یل/ېدل/ستل),False,,,,,none
بهېدل,potential_irregular,ending heuristic (یل/ېدل/ستل),False,,,,,none
بودېدل,potential_irregular,ending heuristic (یل/ېدل/ستل),False,,,,,none
بورېدل,potential_irregular,ending heuristic (یل/ېدل/ستل),False,,,,,none
بونګېدل,potential_irregular,ending heuristic (یل/ېدل/ستل),False,,,,,none
بوڅېدل,potential_irregular,ending heuristic (یل/ېدل/ستل),False,,,,,none
بوکېدل,potential_irregular,ending heuristic (یل/ېدل/ستل),False,,,,,none
بوڼېدل,potential_irregular,ending heuristic (یل/ېدل/ستل),False,,,,,none
بچ کېدل,potential_irregular,ending heuristic (یل/ېدل/ستل),False,,,,,none
بړېدل,potential_irregular,ending heuristic (یل/ېدل/ستل),False,,,,,none
بږنېدل,potential_irregular,ending heuristic (یل/ېدل/ستل),False,,,,,none
بږی اخیستل,potential_irregular,ending heuristic (یل/ېدل/ستل),False,,,,,none
بک کېدل,potential_irregular,ending heuristic (یل/ېدل/ستل),False,,,,,none
بکېدل,stative_compound,manual verification,True,بکېږ,بک,بکېدل,بکېدل,local
خوښول,stative_compound,manual verification,True,خوښو,خوښک,خوښول,وخوښول,local
