translation,book,chapter,verse,file_id,file_name
yousafzai,Zechariah,14,16,1wptpU7w2-WalG6F0h1x0R5jPPDIwwg5V,"yousafzai_zechariah014_verse_016.mp3"
yousafzai,Zechariah,14,3,18EDgFWOduC-zR3PMrnYuliXQIcd94jZk,"yousafzai_zechariah014_verse_003.mp3"
yousafzai,Zechariah,14,2,1ZCUnL97oGxVZseLZqljTGPRA4SmSdFK9,"yousafzai_zechariah014_verse_002.mp3"
yousafzai,Zechariah,14,17,1kxKLzf-TVAhHkO854cgNTyF1nA6lPrvu,"yousafzai_zechariah014_verse_017.mp3"
yousafzai,Zechariah,14,1,1zWpdCIhj5SP9znwuYaetXKhBpIajxtzx,"yousafzai_zechariah014_verse_001.mp3"
yousafzai,Zechariah,14,15,1MEScAZaADtZ-pjUqbpUIHrNWMGK2PB05,"yousafzai_zechariah014_verse_015.mp3"
yousafzai,Zechariah,14,14,1YQJAr38KIMvNzyMTMAuX6lrYDOdi74_v,"yousafzai_zechariah014_verse_014.mp3"
yousafzai,Zechariah,14,4,1-EfIULVu5RCEnk9QuZiD5V72rCSCflSe,"yousafzai_zechariah014_verse_004.mp3"
yousafzai,Zechariah,14,10,1QZ2rlJVuDLR_qo6TwwD1ChxML6tGfN4T,"yousafzai_zechariah014_verse_010.mp3"
yousafzai,Zechariah,14,11,1S-lfPSNiTlYr7E4oP0z0OT49ZcYR0xPa,"yousafzai_zechariah014_verse_011.mp3"
yousafzai,Zechariah,14,5,1D2zWLy6s1zuD84wKa-xpBm5uH5gyqkY3,"yousafzai_zechariah014_verse_005.mp3"
yousafzai,Zechariah,14,7,19DEFpud9Cohtq0XrMn3KzdyGrenSF3J_,"yousafzai_zechariah014_verse_007.mp3"
yousafzai,Zechariah,14,13,1Juzln2__8n7JcCexQ9tovmrhnKDx_Of1,"yousafzai_zechariah014_verse_013.mp3"
yousafzai,Zechariah,14,6,1N9szqL281aaotY_zLQLSvxsg4bUG2M6M,"yousafzai_zechariah014_verse_006.mp3"
yousafzai,Zechariah,14,12,1C33n0QfM_Vfboiit6ePXmVbvn05eGcm2,"yousafzai_zechariah014_verse_012.mp3"
yousafzai,Zechariah,14,20,1Kcx153WxyuUZoD9p5CIu0U8ipSZQpcIh,"yousafzai_zechariah014_verse_020.mp3"
yousafzai,Zechariah,14,8,1pWHT0q6dnDtzaO-nRPLoxjspAKRCXMez,"yousafzai_zechariah014_verse_008.mp3"
yousafzai,Zechariah,14,9,1NtvR4HduE0R9kPvc3_c9wxFsXPVdwXZ5,"yousafzai_zechariah014_verse_009.mp3"
yousafzai,Zechariah,14,21,1SNBGumgpm9AoM5wS6YQUd18toukzEDHE,"yousafzai_zechariah014_verse_021.mp3"
yousafzai,Zechariah,14,18,1hcAdQMYhoSaFZX_snSeY0R8sE57cO47q,"yousafzai_zechariah014_verse_018.mp3"
yousafzai,Zechariah,14,19,11asxOX6sZsP6k4Ny6a_gjqJ14Mx9xRUC,"yousafzai_zechariah014_verse_019.mp3"
yousafzai,Zechariah,6,8,1CAvbT6SHGbFetpzvbQ0Em5V4COGQ5XYS,"yousafzai_zechariah006_verse_008.mp3"
yousafzai,Zechariah,6,9,1WuBVuaPmK-uk095BB_6pbmv1y73t6g_t,"yousafzai_zechariah006_verse_009.mp3"
yousafzai,Zechariah,6,4,1v5EhKXEKgW1anpXk5dd2WYDvGrku3KH3,"yousafzai_zechariah006_verse_004.mp3"
yousafzai,Zechariah,6,10,1QnLy25yAhqXdxyjYtY5j_FOyuBIo-vSE,"yousafzai_zechariah006_verse_010.mp3"
yousafzai,Zechariah,6,11,1DECAQmkjNLAQoNrY_wbjln1VNVXnuUXI,"yousafzai_zechariah006_verse_011.mp3"
yousafzai,Zechariah,6,13,1qz9Qrjr4Yu-j9SldaM1K0kmbeFCFa452,"yousafzai_zechariah006_verse_013.mp3"
yousafzai,Zechariah,6,5,1Dv4N9tkAUHaMy0rFfUbu_IpXE-DbffiE,"yousafzai_zechariah006_verse_005.mp3"
yousafzai,Zechariah,6,7,1_YlIOCOrFJFfNAfvD7J2AjaIQ65Ok-HP,"yousafzai_zechariah006_verse_007.mp3"
yousafzai,Zechariah,6,6,1tDmc3JsVe8fo4ZFj3JUltjffxosuHGtx,"yousafzai_zechariah006_verse_006.mp3"
yousafzai,Zechariah,6,12,1dzrb06eyaSHomB1lL08Rrf0t1mGKC2ED,"yousafzai_zechariah006_verse_012.mp3"
yousafzai,Zechariah,6,2,11VIN8O-0NT3OwWZjnJC0GEplnmgKsQ64,"yousafzai_zechariah006_verse_002.mp3"
yousafzai,Zechariah,14,16,1sgv5JFJCNAREqCncs7DTsp_NRGuBx_fH,"yousafzai_zechariah014_verse_016.mp3"
yousafzai,Zechariah,6,3,17JHKKNTlYvsS-XZiyC_TQT1SFVkzxxj1,"yousafzai_zechariah006_verse_003.mp3"
yousafzai,Zechariah,6,1,1E-JL6yqHx2OsQlsqSHVDtaZQLxFQen8z,"yousafzai_zechariah006_verse_001.mp3"
yousafzai,Zechariah,14,2,1q1WMHv8zHm93q-Oq5EOR2T1FA0vqZWlQ,"yousafzai_zechariah014_verse_002.mp3"
yousafzai,Zechariah,6,15,1I1VQifw0PKC4wRwwHOUx3cr2xhOa4zgA,"yousafzai_zechariah006_verse_015.mp3"
yousafzai,Zechariah,14,17,1cIpyqTjtGoIMQ0LbK4JJHo4fvvnMHxxA,"yousafzai_zechariah014_verse_017.mp3"
yousafzai,Zechariah,6,14,17QNfvOnUbhz8h-IO5up4GNk6MnjyT1Hm,"yousafzai_zechariah006_verse_014.mp3"
yousafzai,Zechariah,14,3,1oUmpnl8kMbU5eWPHdijEl0Hn-JI3Nh0x,"yousafzai_zechariah014_verse_003.mp3"
yousafzai,Zechariah,4,6,10WRU6BNQC8vMlJDbYPgr6x4OhhrYSQS3,"yousafzai_zechariah004_verse_006.mp3"
yousafzai,Zechariah,14,1,1TM6bIUKqxL8vKqTZ6Wf_zMDKOde75qmq,"yousafzai_zechariah014_verse_001.mp3"
